Most common occupation group,Percent,Earnings,"All other
occupations",
"",,,Percent,Earnings
"Computer, engineering, and science . . . . .
Computer, engineering, and science . . . . .
Computer, engineering, and science . . . . .
Computer, engineering, and science . . . . .
Computer, engineering, and science . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Healthcare practitioner and technical . . . .
Computer, engineering, and science . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Management, business, and financial  . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Healthcare practitioner and technical . . . .
Management, business, and financial  . . . .
Management, business, and financial  . . . .
Management, business, and financial  . . . .
Management, business, and financial  . . . .
Management, business, and financial  . . . .
Management, business, and financial  . . . .
Management, business, and financial  . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Management, business, and financial  . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Management, business, and financial  . . . .
Service . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .
Education, legal, community service,
arts, and media  . . . . . . . . . . . . . . . . . . . . . .","0.7
1.0
1.2
0.9
0.9
0.9
0.6
1.0
0.5
0.7
0.7
0.8
0.5
0.2
0.6
0.5
0.5
0.8
0.8
0.6
0.8
0.7
0.6
0.7
0.6
0.9
0.9
1.2
1.0
1.2
0.8
0.7
1.1
0.4","1,281
2,835
1,030
1,145
1,064
2,035
3,058
1,877
934
2,409
2,737
1,208
439
1,384
2,360
1,555
1,131
1,044
2,505
1,450
633
535
420
1,494
764
2,203
1,425
1,611
1,369
1,920
2,319
1,757
938
907","0.7
1.0
1.2
0.9
0.9
0.9
0.6
1.0
0.5
0.7
0.7
0.8
0.5
0.2
0.6
0.5
0.5
0.8
0.8
0.6
0.8
0.7
0.6
0.7
0.6
0.9
0.9
1.2
1.0
1.2
0.8
0.7
1.1
0.4","2,281
4,429
2,864
3,352
2,330
2,122
1,188
2,280
875
2,105
1,569
1,703
1,521
416
979
1,615
563
1,015
1,781
936
1,070
1,215
1,221
963
1,783
1,387
1,536
2,088
1,240
1,931
1,397
713
1,459
724"
